Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
1/27/23 19:57,Chesnee,SC,USA,Light,Chesnee South Carolina,I shined flashlight at it then it starts moving torward us. Pretty scary,3/6/23,
1/27/23 13:08,Savannah,GA,USA,Cylinder,Couple of seconds,Unique cloud and ufo,3/6/23,Yes
1/27/23 07:38,"Albuquerque, west of.",NM,USA,Circle,Brief,This was not an aircraft.,4/9/23,Yes
1/27/23 03:47,Pine City,MN,USA,Circle,15 minutes of what we saw,"It was about 3:47 am coming home driving down our road I noticed these 2 circular crafts, red in color, blinking at times moving fast",3/6/23,
1/26/23 22:30,Holly Springs,NC,USA,Light,At least 10 mins,"Three orange-red rings glowing, almost colliding with aircraft",3/6/23,
1/26/23 20:24,French Settlement,LA,USA,Cigar,About 5 seconds.,A tic tak shaped craft. That was seen for about 5 seconds.,3/6/23,
1/26/23 20:11,Lantana,FL,USA,Circle,5 minutes,"Saw two orange balls of light moving fast the sky, one disappeared, and the other one continued to travel at high speed",3/6/23,
1/26/23 14:18,Bridgehampton,NY,USA,Light,20 seconds,Saw a triangle of bright white lights heading NW of montauk highway.,3/6/23,
1/26/23 08:36,Nixon,TX,USA,Light,5 minutes,Suspected Plasma Ball Event,3/6/23,Yes
1/26/23 07:08,Naugatuck,CT,USA,Circle,10 minutes,"Driving up through route 8, saw two aircraft just sort of hovering in the air.",3/6/23,Yes
1/26/23 00:40,Montclair,CA,USA,Disk,4 seconds,Had a ring of red light and white flew down then up very fast and disappeared.,3/6/23,
1/25/23 22:13,Sloan,NY,USA,Star,All night long,In the skies at night we were star gazing when we noticed that the stars were moving and changing color. They were lower to the ground,3/6/23,
1/25/23 21:30,Myrtle Beach,TN,USA,Triangle,30 min,Lights in the sky over Myrtle Beach,3/6/23,Yes
1/25/23 17:55,El cerrito,CA,USA,Cigar,3 minutes,"Craft moved from the golden gate towards the south bay, pen shaped semi translucent grey in color, single blinking white light at tip",3/6/23,
1/25/23 17:34,Waco,TX,USA,Circle,5 minutes,I was driving to temple children's hospital to pick up my girlfriend and I couldnt help but notice the light in the sky,3/6/23,Yes
1/25/23 16:30,New Durham,NH,USA,Other,A minute or so,Jet pack UFO?,3/6/23,
1/25/23 13:20,Mojave,CA,USA,Sphere,5 minutes,"During a flight the man next to me and I both witnessed three spheres (one large, two small) moving in multiple directions over CA.",3/6/23,Yes
1/25/23 03:00,tampa,FL,USA,Disk,seconds,A bright green and white down the center disk appeated out of nowhere going as fast as a shooting star,3/6/23,
1/24/23 21:00,Destin,FL,USA,Light,Most of the night,It's a star but not!,3/6/23,
1/24/23 20:36,Pleasant valley,NY,USA,Diamond,5 minutes,Silver reflecting cylinder or diamond shape object floating,3/6/23,Yes
1/24/23 18:49,Klamath Falls,OR,USA,Light,Really bright light,Saw a bright light that move very slowly.,3/6/23,
1/24/23 18:40,Clearlake,CA,USA,Disk,2 hours,The object would move in circles then drop very fast the move again very fast back upwards the to the right,3/6/23,Yes
1/24/23 18:39,Ballard,WV,USA,Circle,About 15-20mins,Took a brief video of ball of colorful lights spinning and moving fast around the sky above a mountain in the eastern sky. It was glowi,3/6/23,
1/24/23 18:30,Hartlepool,Hartlepool,United Kingdom,Circle,Few mins,3 bright crafts all circling each other then seperated into a triangle before going seperate ways,3/6/23,
1/24/23 17:55,Bridgewater,MA,USA,Circle,Pulled over to see 6mins,Saw round bright object either light trail or casting cone shaped spotlight,3/6/23,Yes
1/24/23 15:15,Elizabeth City,NC,USA,Formation,About 1 min,My family and I were outside playing when my wife noticed the objects flying in formation she tried to record but couldn't so I did,3/6/23,
1/24/23 14:00,Sussex Inlet,New South Wales,Australia,Other,50 seconds,"two ufo , one caught on camera ""three pictures"" seconds later other on video",3/6/23,Yes
1/24/23 13:55,Lake forest,CA,USA,Light,4-6 seconds,Pulled onto the street my works at and saw a light way far up in the sky,3/6/23,
1/24/23 09:50,Lehighton,PA,USA,Unknown,Around a minute,High speed small object being followed by a jet at high altitude object changed direction suddenly jet followed,3/6/23,Yes
1/23/23 23:55,Winters,CA,USA,Other,Approx 2 min,Opaque oval body with no sound.,3/6/23,
1/23/23 23:55,Los Altos,CA,USA,,,MADAR site 52 had spike on magnetometer but no compass MSV,7/10/23,
1/23/23 22:45,North Fort Myers,FL,USA,Light,2 -3 minutes,How all of a sudden it turned around going the opposite direction,3/6/23,
