Date / Time,City,State,Country,Shape,Duration,Summary,Posted,Images
1/31/20 21:30,Prospect,OR,USA,Light,30 minute,"1.31.2020 Approximately 9:30-10  While driving home fom work, headed east near lost creek lake on hwy 62,  I noticed what I thought was",2/7/20,
1/31/20 19:57,Arizona City,AZ,USA,Unknown,2:55,Blinking lights tha pull away and tilt.,5/1/20,
1/31/20 19:56,Arizona City,AZ,USA,Unknown,2,Blinking unexplained lights that tilt and move.,2/25/20,
1/31/20 19:30,Sevierville,TN,USA,Oval,3-5 minutes,This is twice in one week I've seen this. Round or oval object flying quickly in circles quickly in round circle.,2/7/20,
1/31/20 18:45,Cornelius,OR,USA,,,5 bright orange lights traveling in drunken manner over hillsboro.,2/7/20,
1/31/20 11:40,Royal Palm Beach,FL,USA,,,MADAR Node 76,2/13/20,
1/31/20 09:11,York,PA,USA,Other,2 minutes,"As I was walking home from work i look up in the sky and see what looks like an object of some sort resembling a helicopter, with no wi",2/7/20,
1/31/20 06:55,Blaine Lake (Canada),SK,Canada,Formation,5 minutes,"Large straight formation of lights resembling stars moving E. across the sky N. of Saskatoon, more lights merging in/on to W. tail.",2/7/20,
1/31/20 05:01,Jonesboro,AR,USA,,,MADAR Node 141,2/25/20,
1/31/20 04:00,Buckhannon,WV,USA,Light,3 hours,Numerous lights moving around in the woods below our homes. At first my neighbor and I thought they were just people in the woods with,1/31/20,
1/30/20 22:00,Mesa,AZ,USA,Light,5 minutes,Aircraft with Four white lights with no red/green running lights,2/7/20,
1/30/20 21:00,Monson,MA,USA,Triangle,5 minutes,2 white 1 red triangular craft over Monson Massachusetts. Western Mass,2/7/20,
1/30/20 21:00,Hartland,ME,USA,Orb,Seconds,Me and my friend were driving home at around 9 p.m. we then saw a very bright light/ orb cross our windshield very fast.,6/25/20,
1/30/20 19:30,Lemasters,PA,USA,Triangle,5-7 minutes,"UFO Sighting  Thursday, January 30, 1920 Lemasters, Pa  Around 7:30 pm while leaving our daughters home, there was a craft heading Nor",2/7/20,
1/30/20 18:30,Barrie (Canada),ON,Canada,Disk,1.5 hour,Flying disc spotted over Barrie Ontario,1/31/20,
1/30/20 18:09,Boscawen,NH,USA,Light,20 minutes,Two bright & silent moving objects in the sky,2/7/20,
1/30/20 18:00,Framingham,MA,USA,Circle,15 seconds,I live on the 6th floor of apt. building & have an unobstructed view of the tree line & above & I usually see planes in the sky during,2/7/20,
1/30/20 07:00,Wanaque,NY,USA,Light,,Saw an extremely pulsing large light over the Wanaque reservoir,2/7/20,
1/30/20 06:00,San Bernardino,CA,USA,Flash,All day,Strange flash of light in the sky and trails of objects falling out of the sky toward the mountains 01/30/20. 01/31/20 1 witness of 6 s,2/7/20,
1/30/20 05:45,Leeds,ME,USA,Light,30 minutes,Two amber lights traveling north,1/31/20,
1/30/20,Bellevue,WA,USA,Triangle,2-3 minutes,About 7:00 PM I spotted a home plate shaped object in the sky.  all the corners had pulsing lights. They did not pulse at the same time,2/7/20,
1/30/20,Concord,NH,USA,Light,3 min,Was upstairs in room and looked out window and saw two very bright white lights flying extremely low. At first I thought it was plane;,2/25/20,
1/29/20 23:05,Tacoma/Graham,WA,USA,Light,6,I was driving down a back road out here and all the sudden on my left driver side I saw up in the sky a BRIGHT light MOVING very FAST a,1/31/20,
1/29/20 22:29,Garden Grove,CA,USA,Fireball,7 seconds,Golden Meteor.,2/7/20,
1/29/20 22:12,Sanford,FL,USA,,,MADAR Node 91,2/13/20,
1/29/20 21:20,Janesville,WI,USA,Sphere,5 minutes,When I first spotted the lights it looked like two bright fireballs in the sky. I thought I was seeing a crash in the sky. Then I got a,1/31/20,
1/29/20 20:10,San Diego,CA,USA,Fireball,2 seconds,meteor or space junk?,1/31/20,
1/29/20 19:45,Brady,TX,USA,Light,Lights disappear,"Driving north on US 87 just outside Brady, Texas to yellow circle lights fade and disappear.",1/31/20,
1/29/20 19:25,Cheektowaga,NY,USA,Other,75 minutes,"It looked like a pyramid with 7+ white lights, 2 blinking red lights and 1 blinking green light. It hovered in the air motionless for a",1/31/20,
1/29/20 19:00,Peterborough (Canada),ON,Canada,Formation,Still going,"A straight line of U F O's heading from west to east in the north sky.  They were evenly spaced.  ((""Starlink"" satellites??))",1/31/20,
1/29/20 18:14,Newburgh,IN,USA,,,MADAR Node 142,2/25/20,
1/29/20 17:43,Oakdale,PA,USA,Cylinder,7 seconds,gray cylinder with dim red and white lights vanished from sight.,1/31/20,
1/29/20 16:00,Littleton,CO,USA,Cigar,30 seconds,Sighting over Littleton on Wednesday.,2/7/20,
1/29/20 15:23,Bakersfield,CA,USA,Triangle,2 minutes,Snapped in in a picture while attending my grandfathers funeral.,3/6/23,Yes
1/29/20 11:30,Bakersfield,CA,USA,Changing,1 minutes,One orange object with tail following turned into three objects. All had tails at first then were orange lights. Could have moved aroun,1/31/20,
1/29/20 09:07,Melbourne,FL,USA,Rectangle,30 seconds,I was driving northbound on I-95 around 9:00 am when I noticed an accident in the opposite southbound lane with traffic building up. As,1/31/20,
1/29/20 05:30,Coeur d'Alene,ID,USA,Circle,30 seconds,I saw bright green light pretty far up above my city while leaving the gym this morning. Just when. I was trying to figure out what it,1/31/20,
1/29/20 01:00,Warren,ME,USA,Orb,40 minutes,Flashing green orb,1/31/20,
1/28/20 23:44,Colonial Heights,VA,USA,Triangle,2-3 minutes,"3 white lights and a blinking white and red light hovering, then moving slowly.",1/31/20,
1/28/20 21:15,Varnville,SC,USA,Other,10 minutes,"Last night my husband was out walking the dogs and he yelled for me to step out the back porch and look up, at the tree line in the sky",1/31/20,
1/28/20 21:00,Anywhere (Canada),BC,Canada,Unknown,1 second,The sound of silence...,1/31/20,
1/28/20 20:10,Palm Harbor,FL,USA,Light,ongoing,Bright light that shined out rays of light in all different directions and patterns.  ((NUFORC Note:  Venus??  PD)),1/31/20,
1/28/20 19:30,Longs,SC,USA,Light,5 minutes,I was walking my dog and saw 3 red blinking lights almost vertical but not straight. This was northeast/north. I thought this was odd a,1/31/20,
